CALLES,FECHA,HORA SOLAR,Tª SOMBRA,Tª SOL,TEMPERATURA,CIELO,COORDENADAS,LEYENDA,ORIENTACIÓN
Calle José María del Campo,30/09/2023,14:50,"30,7","36,1","36,2°C",Despejado,"37°23'02.4""N 6°00'38.3""W",,
"""Avenida de Santa Cecilia""",30/09/2023,14:49,"28,1","42,4","36,2°C",Despejado,"37°23'00.3""N 6°00'36.5""W",,
Calle Maestro Guridi,30/09/2023,14:54,"27,5","40,7","36,2°C",Despejado,"37°22'59.8""N 6°00'35.2""W",,
Calle Sor Milagros (peatonal),30/09/2023,14:56,"28,4","45,3","36,2°C",Despejado,"37°22'59.3""N 6°00'33.0""W",,
Calle Doctor Jerónimo Pou,30/09/2023,14:57,"33,5","39,7","36,2°C",Despejado,"37°23'01.6""N 6°00'31.0""W",,
Calle Betis,01/10/2023,,,,"36,4°C",Despejado,,,
Calle Pureza,01/10/2023,14:07,43,"47,3","36,4°C",Despejado,"37°23'04.6""N 6°00'06.6""W",,
Calle Rocío,01/10/2023,14:08,"34,4","39,6","36,4°C",Despejado,"37°23'04.3""N 6°00'06.9""W",,
Calle Flota,01/10/2023,14:10,"36,4",44,"36,4°C",Despejado,"37°23'02.3""N 6°00'09.1""W",,
Calle Rodrigo de Triana,01/10/2023,14:13,29,"39,5","36,4°C",Despejado,"37°22'59.9""N 6°00'08.4""W",,
Calle Luca de Tena,01/10/2023,14:15,"40,8","43,1","36,4°C",Despejado,"37°22'58.5""N 6°00'06.5""W",,
Plazuela de Santa Ana,01/10/2023,14:18,"34,6","36,9","36,4°C",Despejado,"37°22'57.0""N 6°00'03.5""W",,
Calle Párroco Don Eugenio,01/10/2023,14:21,"27,4","37,3","36,4°C",Despejado,"37°38'28.0""N, 6°00'08.0""W",,
Calle Troya,01/10/2023,14:24,"28,3","49,1","36,4°C",Despejado,"37°22'53.7""N 5°59'56.1""W",,
Calle Fortaleza,01/10/2023,14:25,"29,8","34,9","36,4°C",Despejado,"37°22'52.9""N 5°59'55.5""W",,
República Argentina,01/10/2023,14:31,"34,6","43,2","36,4°C",Despejado,"37°22'45.9""N 5°59'56.6""W",,
Calle Salado,01/10/2023,14:32,"38,5","45,1","36,4°C",Despejado,"37°22'44.0""N 6°00'04.9""W",,
Calle Manuel Rodríguez Alonso,01/10/2023,14:38,"33,1","49,6","36,4°C",Despejado,"37°22'38.7""N 6°00'17.4""W",,
Calle Trabajo,01/10/2023,14:45,"34,5","49,5","36,4°C",Despejado,"37°22'48.0""N 6°00'12.8""W",,
Calle Esperanza de Triana,01/10/2023,14:47,"32,7","47,1","36,4°C",Despejado,"37°22'45.8""N 6°00'13.0""W",,
Calle Ardilla,01/10/2023,14:50,"27,1","40,2","36,4°C",Despejado,"37°22'44.1""N 6°00'09.1""W",,
Calle Febo,01/10/2023,14:52,"33,5","49,2","36,4°C",Despejado,"37°22'47.1""N 6°00'09.1""W",,
Calle Farmaceutico Murillo Herrera,01/10/2023,14:54,"25,8","32,3","36,4°C",Despejado,"37°22'49.4""N 6°00'09.8""W",,
Calle Evangelista,01/10/2023,15:04,30,"41,7","36,4°C",Despejado,"37°22'52.5""N 6°00'17.3""W",,
Calle Justino Matute,01/10/2023,14:59,"37,5","46,5","36,4°C",Despejado,"37°22'52.1""N 6°00'18.5""W",,
Calle Prosperidad,01/10/2023,15:07,"28,6","38,2","36,4°C",Despejado,"37°22'47.8""N 6°00'22.4""W",,
Calle Condes Bustillo,01/10/2023,15:09,"31,4","35,9","36,4°C",Despejado,"37°22'46.4""N 6°00'25.2""W",,
Calle López de Gomara,01/10/2023,15:11,"32,3","39,2","36,4°C",Despejado,"37°22'44.9""N 6°00'28.8""W",,
Calle Pelay Correa,01/10/2023,14:20,"38,6","55,9","36,4°C",Despejado,"37°22'57.8""N 6°00'03.1""W",,
Plaza Salesiano Don Ubaldo,01/10/2023,14:41,"33,8",47,"36,4°C",Despejado,"37°22'43.6""N 6°00'22.5""W",,
